fiscal_id;first_name;last_name;gender;fecha_nacimiento;fecha_vencimiento;deuda;direccion;altura;peso;correo;estatus_contacto;prioridad;telefono
41631392-K;Wendy;Ware;male;1990-11-11;2021-04-23;658;8679 Primis Avenue;4;76;imperdiet@Phasellusfermentumconvallis.co.uk;Valido;1;9963328857
49665408-0;Imelda;Camacho;male;1995-05-10;2021-01-29;844;252-8718 Dictum Rd.;1;109;Duis@bibendumullamcorperDuis.com;Valido;3;9356588211
24247506-2;Erica;Delaney;female;1996-09-09;2021-02-02;297;Ap #198-2498 Felis Road;9;110;Nam.interdum.enim@disparturientmontes.org;Valido;3;9361086998
34653654-3;Audra;Pace;female;1993-11-02;2021-01-13;376;4481 Donec Av.;7;80;habitant.morbi@Lorem.co.uk;Valido;1;9797003451
39455789-7;Nehru;Fisher;male;1994-01-24;2021-01-07;966;461-7845 Dui, Street;9;178;scelerisque@imperdiet.edu;Valido;2;9789888197
48120647-2;Mariko;Burns;male;1991-01-14;2021-03-29;821;Ap #881-5503 Malesuada Avenue;5;115;ipsum.Phasellus.vitae@adui.org;Valido;1;9798353416
11710673-K;Sybil;Rivera;female;1998-11-11;2021-05-11;691;802-4119 Imperdiet Avenue;8;172;urna.justo.faucibus@fringillacursus.net;Valido;3;9944342254
30199648-9;Tamara;Hunt;female;1993-03-25;2021-03-10;825;Ap #760-7115 Ut St.;3;156;arcu@Inornaresagittis.ca;Valido;2;9582178044
26088511-1;Tyrone;Ramos;male;1991-07-24;2021-04-13;859;3300 In Ave;3;43;ante.Vivamus@ac.edu;Invalido;1;9434324579
29793136-9;Darryl;Wilcox;male;1998-11-16;2021-05-04;436;Ap #327-9658 Nec, Avenue;7;126;non.cursus@semmagnanec.com;Valido;2;9970136234
20487624-K;Noel;Vance;female;1993-06-25;2021-01-23;921;P.O. Box 495, 2922 Nulla. Street;3;63;elit.Etiam@sit.com;Invalido;2;9926264919
10462375-1;Piper;Mclean;female;1998-10-30;2021-02-05;966;917 Enim. Street;2;112;et.eros@nullavulputatedui.ca;Valido;1;9372084765
15708517-4;Zachery;Velasquez;male;1998-07-01;2021-04-25;743;P.O. Box 466, 4134 Ornare, Road;8;118;;Invalido;1;9146226667
16430202-4;Ila;Horn;male;1995-12-01;2021-02-05;141;9357 Elit St.;4;108;;Valido;3;9508555926
23451436-9;Quinlan;Vazquez;female;1998-05-31;2021-02-17;969;7808 Porttitor Rd.;6;111;;Invalido;3;9057955337
27731474-6;Mia;Wilder;female;1991-07-23;2021-04-27;235;Ap #217-6504 Euismod Rd.;3;131;;Valido;3;9565754387
6907565-7;Eric;Mathis;male;1993-11-20;2021-04-30;127;P.O. Box 915, 472 Erat Ave;2;153;;Invalido;2;9931000068
19694694-2;Kimberly;Mcguire;male;1993-05-16;2021-03-26;695;Ap #182-5660 Aliquam Street;10;103;;Valido;1;9099367298
12286228-3;Jessica;Rocha;female;1996-05-16;2021-01-01;847;Ap #817-3183 Nisl Av.;1;123;;Invalido;3;9208244278
7599323-4;Piper;Glover;female;1991-04-15;2021-01-12;72;Ap #500-5066 Odio Avenue;8;63;;Valido;1;9361588059
20107416-9;Lawrence;Burch;male;1993-03-31;2021-01-25;69;9587 Magna, Road;1;178;;Invalido;1;9307253811
13450130-8;Yen;Webster;male;1997-06-19;2021-04-17;918;P.O. Box 449, 4040 Imperdiet Rd.;1;73;;Valido;3;9722400163
23532588-8;Sophia;Barr;female;1991-01-16;2021-04-01;556;Ap #538-9162 Nunc Road;7;129;amet.orci@magnisdisparturient.org;Valido;3;9801128302
5349201-0;Addison;Justice;female;1999-01-06;2021-04-17;438;Ap #482-6246 Eros Rd.;10;81;neque.tellus.imperdiet@magna.co.uk;Valido;1;9728527807
40418496-2;Troy;Wiggins;male;1998-02-08;2021-02-06;64;318-8493 Dapibus Ave;3;170;aliquam.eros@felisNullatempor.edu;Valido;2;9325574406
42483105-0;Breanna;Weaver;male;1995-10-30;2021-01-01;576;7278 Pede. Road;1;199;non.magna.Nam@gravidanunc.com;Invalido;2;9414523997
46058474-4;Randall;Griffin;female;1999-08-21;2021-01-09;238;1261 Nonummy Street;9;98;semper.Nam.tempor@montes.edu;Valido;3;9582601138
48737729-5;Alfonso;Goodman;female;1999-04-30;2021-01-18;432;P.O. Box 309, 6936 Et Ave;5;163;consectetuer.adipiscing.elit@porttitor.com;Invalido;1;9593610295
44237737-5;Uriel;Salas;male;1993-02-08;2021-02-01;501;P.O. Box 930, 6447 Luctus. Avenue;2;70;sapien.molestie@vitaeeratvel.com;Valido;1;9885672896
15959590-0;Alea;Arnold;male;1993-09-13;2021-01-14;417;P.O. Box 777, 9165 Eu, Ave;8;87;Morbi.quis@ataugue.ca;Invalido;1;9100105996
10788829-2;Hermione;Patterson;female;1998-10-25;2021-04-27;45;P.O. Box 388, 8517 Lorem Avenue;5;83;dapibus@purus.org;Valido;2;9654041148
40384883-2;Oliver;Lamb;female;1990-08-12;2021-02-27;511;P.O. Box 185, 4976 Dolor Av.;10;134;et.libero@liberoat.net;Invalido;1;9974463535
37118040-0;Victor;English;male;1998-09-28;2021-04-30;218;P.O. Box 130, 4813 A Ave;4;45;egestas.lacinia@blandit.co.uk;Valido;1;9429351102
12706405-9;Bell;Taylor;male;1998-03-11;2021-04-07;366;P.O. Box 446, 2679 Ac, Avenue;9;85;mi@aliquetnecimperdiet.co.uk;Invalido;3;9946724970
6443599-K;Jacob;Dennis;female;1991-06-14;2021-01-22;312;687-3397 Integer Road;3;103;Proin.mi.Aliquam@Aliquamfringillacursus.com;Invalido;2;
21036003-4;Aidan;Middleton;female;1997-06-18;2021-03-12;330;244-5311 Leo. Rd.;10;84;sem@rutrum.co.uk;Invalido;3;
7089873-K;Velma;Reynolds;male;1998-09-19;2021-03-09;132;3201 Ut St.;3;156;pede.ultrices.a@dolordapibus.org;Invalido;1;
40556710-5;Zena;Ruiz;male;1992-01-13;2021-03-10;425;P.O. Box 699, 9161 Eget Avenue;10;74;leo.Morbi.neque@massarutrummagna.ca;Valido;1;
40453449-1;Destiny;Frost;female;1998-07-05;2021-03-24;882;Ap #322-4486 Tincidunt Avenue;10;108;Vestibulum.accumsan@scelerisquenequeNullam.ca;Valido;1;
49499512-3;Calvin;Whitehead;female;1996-03-30;2021-01-29;633;3962 Non, Rd.;3;37;Aliquam@nislsem.com;Valido;3;
44766643-K;Jerome;Langley;male;1999-05-19;2021-05-01;116;Ap #780-3416 Bibendum. Av.;4;117;Fusce@dolorQuisque.org;Valido;1;
14107232-3;Abel;Gallegos;male;1990-09-10;2021-03-16;457;Ap #581-6936 A, Av.;10;119;Quisque.libero@semper.com;Valido;3;
11535398-5;Allen;Craft;female;1992-11-17;2021-03-22;987;5380 Ultrices Road;9;195;non@ornareegestasligula.co.uk;Invalido;1;
44808392-6;Quincy;Jones;female;1991-11-09;2021-05-04;734;206 Torquent Rd.;3;87;metus.facilisis.lorem@ametconsectetueradipiscing.ca;Valido;2;
14845161-3;Lee;Mullins;male;1995-06-15;2021-01-31;343;7243 Montes, Ave;4;57;ligula.Nullam.enim@nisi.com;Valido;3;
7500259-9;Xandra;Jensen;male;1993-10-23;2021-02-28;204;6948 Aliquet. Avenue;3;113;natoque@auctorquistristique.ca;Valido;1;
38153029-9;Victor;Douglas;female;1991-06-30;2021-04-02;806;P.O. Box 583, 3534 Lectus. Rd.;7;61;semper@Etiamlaoreet.net;Invalido;1;
36408053-0;Zephr;Wong;female;1996-11-08;2021-04-14;276;3612 Vestibulum Ave;5;191;egestas.ligula@Maurismagna.edu;Invalido;2;
11229186-5;Cynthia;Pickett;male;1997-01-20;2021-02-17;733;8618 Interdum Ave;2;85;tempus@liberoInteger.net;Valido;3;
50486726-9;Myles;Hinton;male;1994-11-19;2021-03-10;534;3833 Magna. Rd.;9;48;id.blandit.at@nonummyac.ca;Invalido;2;
24996034-9;Jocelyn;Morris;female;1997-07-09;2021-01-27;778;9945 Cras Street;7;190;Cras@eunibhvulputate.co.uk;Valido;1;9994171355
33041283-6;Fay;Dixon;female;1993-05-08;2021-01-03;820;Ap #268-7014 Parturient St.;10;113;augue@antedictumcursus.edu;Invalido;1;9821093269
50430572-4;Gannon;Rojas;male;1999-06-04;2021-05-11;522;Ap #519-9013 Sapien Av.;4;62;sagittis@Vestibulumaccumsanneque.org;Valido;1;9154174891
22791169-7;Kylan;Mcfadden;male;1998-10-11;2021-05-14;949;2201 Eu St.;6;106;convallis.dolor@dignissimpharetraNam.org;Valido;1;9177092536
42113876-1;Janna;Moses;female;1997-08-06;2021-04-06;340;4966 Diam. Street;8;59;Etiam.gravida.molestie@nislMaecenas.ca;Invalido;1;9564031034
37485212-4;Bernard;Barr;female;1995-12-04;2021-01-17;557;168-6184 Lorem Street;5;95;imperdiet.ullamcorper.Duis@nisiCumsociis.co.uk;Valido;3;9310538332
40954632-3;Yuri;Collins;male;1998-02-04;2021-04-30;222;Ap #752-2675 At, Ave;8;194;magna@pedesagittis.co.uk;Invalido;2;9340791546
7785083-K;Ruby;Parrish;male;1992-07-25;2021-03-27;874;Ap #354-5186 Nec Rd.;4;164;tellus.Phasellus.elit@etliberoProin.edu;Invalido;2;9009717911
46273740-8;Linus;Kent;female;1994-05-07;2021-02-08;408;P.O. Box 760, 4765 Est. Rd.;4;124;mollis@variusultrices.ca;Valido;3;9545172655
35831142-3;Brennan;Hewitt;female;1991-07-13;2021-02-03;295;Ap #650-3955 Ullamcorper Ave;3;140;enim.Nunc@Suspendisseacmetus.edu;Valido;3;9714650954
26793242-5;Colton;Molina;male;1994-12-27;2021-03-13;974;P.O. Box 691, 9461 Massa Rd.;6;42;eros.non@pellentesqueegetdictum.net;Invalido;3;9229485462
10193384-9;Hilary;Robertson;male;1996-04-30;2021-02-27;521;4172 Arcu. St.;1;128;dolor.sit@magnaLoremipsum.ca;Invalido;2;9643198043
11184364-3;Hilel;Compton;female;1999-04-04;2021-01-07;75;618-4821 Justo. Av.;8;91;aliquam.eu@purus.com;Valido;3;9521350370
27142787-5;Orson;Mcmillan;female;1993-05-15;2021-03-18;481;693-6312 Erat, Rd.;2;34;porttitor@acfacilisis.org;Invalido;2;9755209297
50345839-K;Donna;Bolton;male;1996-07-31;2021-01-29;239;P.O. Box 160, 7950 Nulla St.;6;189;ac@vehiculaet.ca;Valido;3;9447540050
46095747-8;Alexis;Hoffman;male;1991-06-24;2021-03-27;409;493-4350 Mauris Rd.;9;189;Suspendisse.eleifend@magnis.ca;Valido;3;9577650655
38010914-K;Maris;Ballard;female;1995-10-02;2021-02-24;45;Ap #158-9288 Proin Ave;10;102;interdum.Nunc.sollicitudin@commodoauctor.org;Valido;2;9766553533
19569842-2;Rogan;Meyers;female;1994-06-24;2021-01-29;497;Ap #459-9737 Enim. Ave;2;150;laoreet.ipsum@arcuSedet.edu;Valido;2;9231963524
36134636-K;Hu;Collins;male;1999-12-21;2021-04-27;192;874-5056 Nulla St.;10;60;Proin.dolor@nunc.edu;Invalido;1;9072484039
20399292-0;Gannon;Simmons;male;1993-07-29;2021-02-05;789;Ap #824-7675 Nisi Avenue;1;136;ridiculus@Nam.edu;Valido;2;9290522065
35867577-8;Wanda;Villarreal;female;1992-12-23;2021-05-13;333;P.O. Box 930, 1093 Mauris Road;5;58;Nunc@interdumNuncsollicitudin.org;Invalido;2;9419775198
7003329-1;Caesar;Cardenas;female;1991-07-25;2021-01-09;664;7284 Dictum Rd.;9;50;Nulla.eget@pedeNunc.net;Valido;2;9204861521
13993709-0;Hedwig;Blake;male;1997-03-09;2021-02-23;868;483-1889 Euismod Street;7;113;sagittis@fermentumarcu.edu;Valido;1;9836116802
